#type       avg     std     min      p5     p10     p50     p67     p75     p80     p85     p90     p95     p99    p999   p9999      QPS   target       ts_start         ts_end
read      284.8   131.0   101.3   161.4   177.1   262.6   301.7   325.8   344.9   370.6   407.9   482.6   675.1  1396.1  4288.9  29996.2    30055  1778766984306  1778766994413
read      276.6   134.4   101.3   158.7   174.3   257.7   294.8   317.3   335.2   357.6   390.1   452.1   613.1  1376.9  4348.7  30226.8    30060  1778766995932  1778767006047
read      296.9   636.4    93.8   157.7   173.9   258.9   299.4   325.7   346.2   374.5   421.1   519.9   941.9  2253.3  6277.5  30127.7    30065  1778767007565  1778767017672
read      297.7   152.5   101.3   165.1   182.6   270.4   311.1   336.2   356.4   383.4   426.1   511.0   782.4  1898.8  4386.8  30003.6    30070  1778767019193  1778767029296
read      285.0   149.1    93.8   160.3   175.7   259.9   298.4   321.7   341.3   367.0   404.6   486.4   722.9  2002.8  4314.7  30090.9    30075  1778767030816  1778767040941
read      284.4   208.8   101.3   157.2   170.1   246.1   286.7   311.6   331.3   357.7   399.3   499.6   943.5  3183.9  6026.9  30127.7    30080  1778767042460  1778767052563
read      269.9   139.4   101.3   157.7   170.8   245.4   283.7   306.5   323.4   346.0   379.3   449.3   672.1  1758.9  4336.1  30010.0    30085  1778767054083  1778767064196
read      270.2   184.9   101.3   154.8   167.5   240.7   279.5   303.2   320.6   343.8   377.6   450.4   689.7  2625.7  6185.6  30090.4    30090  1778767065713  1778767075823
read      272.8   160.4   101.3   155.1   169.0   247.4   286.4   309.5   327.3   350.3   385.6   455.4   668.7  2220.5  5088.1  30047.3    30095  1778767077341  1778767087449
read      270.4   135.3    93.8   153.7   168.8   250.6   288.2   310.7   328.0   349.9   382.0   441.3   602.0  1963.6  4435.3  30135.5    30100  1778767088966  1778767099073
read      279.9   130.1   101.3   160.0   175.8   261.1   298.8   321.2   339.8   362.7   394.5   456.4   621.1  1538.0  4008.1  30052.7    30105  1778767100590  1778767110699
read      271.2   123.9    93.8   159.1   174.1   254.0   290.3   311.7   327.9   347.3   376.0   431.5   578.8  1554.0  4183.2  30150.6    30110  1778767112218  1778767122323
read      285.9   142.8    86.8   163.5   180.2   265.2   303.0   326.2   344.4   368.3   401.7   466.3   634.9  2028.3  4322.6  30045.3    30115  1778767123840  1778767133950
read      289.3   127.5   109.4   172.4   188.9   271.0   307.9   329.8   345.9   368.6   399.8   459.6   612.1  1491.8  4315.1  30071.9    30120  1778767135467  1778767145593
read      282.7   127.5   101.3   167.1   183.3   263.6   299.2   320.9   338.6   360.9   393.2   456.1   612.4  1777.2  4208.1  30134.7    30125  1778767147113  1778767157215
read      294.0   161.7    93.8   165.7   183.1   268.8   307.9   332.6   352.2   378.7   419.9   497.9   724.7  1789.8  4546.6  30058.9    30130  1778767158732  1778767168852
read      291.8   320.3    93.8   163.7   180.1   261.8   297.3   319.3   337.2   360.1   394.3   466.7   725.5  4853.6 10738.6  30119.9    30135  1778767170373  1778767180573
read      280.5   136.4   101.3   165.1   181.5   263.2   298.7   320.0   337.3   358.2   388.0   443.8   593.5  1253.3  4721.0  30199.6    30140  1778767182098  1778767192211
read      308.6   229.6   101.3   167.4   185.3   272.4   313.3   339.7   362.1   393.3   443.4   544.0   872.1  3052.8  7700.1  30098.2    30145  1778767193730  1778767203860
read      298.1   372.6   101.3   164.0   180.2   263.0   300.0   322.5   341.0   365.0   400.4   478.4   747.3  5585.2 17517.9  30165.6    30150  1778767205389  1778767215599
read      288.1   150.3   101.3   163.1   179.4   262.9   301.6   326.0   345.2   371.6   412.5   494.3   706.2  1751.4  5042.0  30146.0    30155  1778767217124  1778767227250
read      284.2   130.2   101.3   162.1   178.9   263.2   301.6   325.3   344.0   369.0   404.5   473.8   642.0  1373.5  4172.4  30122.8    30160  1778767228767  1778767238879
read      283.6   162.1    93.8   162.5   179.4   264.1   300.6   322.3   339.8   361.8   393.0   452.4   626.9  1946.8  6389.0  30110.2    30165  1778767240396  1778767250517
read      294.0   222.0    93.8   166.9   183.9   266.6   303.5   326.7   344.8   370.0   407.6   486.7   719.4  3314.4  8375.9  30090.9    30170  1778767252035  1778767262165
read      292.4   128.8   101.3   170.7   188.6   273.6   311.2   333.9   351.2   373.8   407.4   470.6   624.7  1434.6  4262.1  30152.8    30175  1778767263684  1778767273791
read      305.4   170.7   101.3   169.0   186.4   274.3   317.3   344.7   367.7   397.8   444.4   532.2   793.6  2073.0  5007.4  30122.0    30180  1778767275307  1778767285416
read      258.7   129.5    93.8   155.1   167.6   236.2   272.5   294.2   311.4   332.9   363.5   422.8   594.4  1404.1  4523.0  30141.6    30185  1778767286939  1778767297045
read      299.6   168.3    93.8   163.2   179.4   264.0   307.2   336.8   362.4   397.9   455.3   552.0   811.7  1844.8  5087.8  30195.6    30190  1778767298561  1778767308674
read      290.1   168.5    93.8   159.0   175.1   259.6   299.6   325.2   345.8   373.8   418.7   510.0   803.6  2108.5  5059.5  30195.5    30195  1778767310199  1778767320306
read      285.4   158.7    93.8   151.7   167.2   254.6   296.7   324.3   346.5   378.3   428.4   522.4   772.8  1698.2  4567.0  30213.4    30200  1778767321826  1778767331935
read      276.0   136.4    93.8   156.0   171.2   253.6   292.1   315.8   335.0   359.8   395.9   466.2   651.7  1473.0  4370.0  30178.7    30205  1778767333454  1778767343566
read      289.2   127.3    93.8   164.9   182.0   269.1   308.1   331.8   349.7   373.8   409.6   478.2   647.8  1395.0  3948.2  30274.3    30210  1778767345083  1778767355188
read      281.8   135.3    86.8   156.5   173.7   261.8   300.4   323.8   342.7   367.1   401.2   468.3   637.6  1534.5  4298.5  30246.0    30215  1778767356704  1778767366810
read      287.4   142.2    93.8   165.9   182.9   266.9   304.4   327.4   345.0   369.0   402.8   469.5   641.0  1625.8  4349.1  30220.0    30220  1778767368327  1778767378433
read      294.3   183.4    93.8   160.4   174.3   256.8   300.7   329.0   352.1   384.6   436.7   544.4   849.8  2253.7  5436.8  30251.0    30225  1778767379950  1778767390061
read      304.5   281.3    93.8   157.5   170.9   250.9   295.3   324.1   348.2   384.1   446.6   579.7  1168.8  4221.9  7943.2  30201.5    30230  1778767391584  1778767401735
read      272.3   234.9    93.8   152.2   164.7   237.7   276.7   301.1   319.9   345.5   384.7   470.2   783.2  3840.4  8121.8  30316.1    30235  1778767403260  1778767413395
read      287.7   341.9   101.3   157.6   170.6   246.4   285.4   309.2   327.8   352.1   389.4   474.2   850.0  6003.9 12194.6  30292.8    30240  1778767414915  1778767425045
read      301.9   303.9    93.8   163.9   180.1   265.3   304.7   329.2   348.1   374.2   417.3   507.0   831.8  5323.4 10731.8  30163.2    30245  1778767426570  1778767436745
read      313.0   382.5   101.3   161.1   178.0   269.2   311.1   337.7   359.2   387.9   432.9   531.7   901.3  6312.4 13921.8  30210.9    30250  1778767438276  1778767448491
read      307.1   357.5    93.8   159.0   175.3   263.3   305.4   332.2   354.0   384.7   435.5   537.0   874.5  5797.3 13866.0  30206.2    30255  1778767450022  1778767460260
read      295.2   213.6   101.3   161.0   176.8   264.4   305.2   330.2   349.5   375.9   419.2   509.2   800.7  3097.8  7577.3  30183.5    30260  1778767461790  1778767471954
read      287.2   136.2    93.8   166.2   182.3   264.6   301.9   324.6   342.8   367.3   403.0   479.9   695.7  1468.3  4037.0  30297.3    30265  1778767473480  1778767483591
read      295.0   149.5   101.3   167.9   185.7   270.9   309.3   332.9   351.2   375.5   414.4   491.6   729.5  1820.5  4494.2  30245.5    30270  1778767485111  1778767495232
read      319.3   238.4    93.8   168.5   187.8   278.3   320.1   347.6   370.9   402.5   457.3   570.8  1016.2  3410.5  7394.1  30309.7    30275  1778767496753  1778767506869
read      296.4   197.3    93.8   166.0   183.6   270.4   309.5   333.1   351.3   375.4   414.1   493.0   722.2  2871.1  7167.0  30307.5    30280  1778767508395  1778767518593
read      311.2   161.9   101.3   174.3   192.6   284.0   325.6   352.2   373.5   402.7   449.0   533.2   744.1  1961.5  5477.9  30246.4    30285  1778767520114  1778767530228
read      313.1   157.8    93.8   176.1   195.6   286.5   327.5   354.0   374.4   403.0   448.4   531.8   758.2  1938.0  4891.9  30233.7    30290  1778767531752  1778767541862
read      294.3   140.1   101.3   170.7   188.7   274.4   312.3   335.5   353.4   376.1   409.8   474.3   644.5  1602.6  4666.4  30293.8    30295  1778767543384  1778767553488
read      296.3   158.5   101.3   163.6   180.7   268.7   309.2   335.1   356.1   385.0   430.0   517.8   760.2  1748.0  5206.0  30249.8    30300  1778767555007  1778767565124
read      310.8   267.0   101.3   169.7   188.0   275.6   316.7   343.6   366.2   396.5   443.6   534.0   792.7  4173.8 10617.0  30230.9    30305  1778767566646  1778767576761
read      303.5   178.9   101.3   166.2   184.2   273.1   314.1   339.8   361.0   389.5   434.0   529.6   829.4  2053.0  5831.0  30394.0    30310  1778767578287  1778767588402
read      297.5   162.1   101.3   166.9   185.0   271.6   311.5   336.3   356.4   383.3   425.4   504.6   727.4  1993.9  5739.3  30292.8    30315  1778767589925  1778767600041
